Alimento,Gramos
"Milk, NFS",246.0
"Milk, whole",246.0
"Milk, reduced fat (2%)",246.0
"Milk, low fat (1%)",246.0
"Milk, fat free (skim)",246.0
"Milk, lactose free, low fat (1%)",246.0
"Milk, lactose free, fat free (skim)",246.0
"Milk, lactose free, reduced fat (2%)",246.0
"Milk, lactose free, whole",246.0
Buttermilk,246.0
Kefir,246.0
Goat milk,246.0
"Milk, dry, reconstituted, nonfat",246.0
"Milk, dry, reconstituted, whole",246.0
"Milk, evaporated, NS as to fat content",246.0
"Milk, evaporated, whole",246.0
"Milk, evaporated, reduced fat (2%)",246.0
"Milk, evaporated, fat free (skim)",246.0
"Milk, condensed, sweetened",246.0
"Non-dairy milk, NFS",246.0
"Soy milk, sweetened",246.0
"Soy milk, unsweetened",246.0
"Soy milk, chocolate",246.0
"Almond milk, sweetened",246.0
"Almond milk, chocolate",246.0
"Almond milk, unsweetened",246.0
"Almond milk, NFS",246.0
Rice milk,246.0
Oat milk,246.0
Coconut milk,246.0
"Yogurt, NFS",113.0
"Yogurt, Greek, NS as to type of milk or flavor",150.0
"Yogurt, NS as to type of milk or flavor",113.0
"Yogurt, NS as to type of milk, plain",113.0
"Yogurt, whole milk, plain",113.0
"Yogurt, low fat milk, plain",113.0
"Yogurt, nonfat milk, plain",113.0
"Yogurt, Greek, NS as to type of milk, plain",150.0
"Yogurt, Greek, whole milk, plain",150.0
"Yogurt, Greek, low fat milk, plain",150.0
"Yogurt, Greek, nonfat milk, plain",150.0
"Yogurt, NS as to type of milk, fruit",113.0
"Yogurt, whole milk, fruit",113.0
"Yogurt, low fat milk, fruit",113.0
"Yogurt, nonfat milk, fruit",113.0
"Yogurt, Greek, NS as to type of milk, fruit",150.0
"Yogurt, Greek, whole milk, fruit",150.0
"Yogurt, Greek, low fat milk, fruit",150.0
"Yogurt, Greek, nonfat milk, fruit",150.0
"Yogurt, NS as to type of milk, flavors other than fruit",113.0
"Yogurt, whole milk, flavors other than fruit",113.0
"Yogurt, low fat milk, flavors other than fruit",113.0
